Sex	gene_id	gene_name	target_id	target_name	corrPower	changeCorr	signTissues	signTissuesN	medianLFC	corrTissuesN	corrTissues	medianLFC_target
Female	ENSMUSG00000121142.1	ENSMUSG00000121142	ENSMUSG00000032602.7	Slc25a20	-1	-1	Ileon, Liver	2	1.5394067309129937	1	Liver	-0.3851526527247643
Male	ENSMUSG00000120084.1	ENSMUSG00000120084	ENSMUSG00000046861.10	Hectd3	-1	-1	Kidney, Liver	2	1.668184524099189	1	Kidney	-0.38516903388859375
Male	ENSMUSG00000121149.1	ENSMUSG00000121149	ENSMUSG00000046861.10	Hectd3	-1	-1	Kidney	1	2.0276483198344653	1	Kidney	-0.38516903388859375
Male	ENSMUSG00000109644.3	0610005C13Rik	ENSMUSG00000002963.18	Pnkp	-1	-1	Ileon, Liver, Colon	3	1.7913307900389701	1	Liver	-0.38534693706577855
Male	ENSMUSG00000084824.2	Gm16344	ENSMUSG00000024383.10	Map3k2	-1	-1	Ileon, Kidney, Liver	3	1.3141530225419493	1	Kidney	-0.3854236543162635
Female	ENSMUSG00000091050.3	9330020H09Rik	ENSMUSG00000023004.9	Tuba1b	-1	-1	Kidney, Muscle	2	0.7795441408991055	1	Kidney	-0.3856988646030696
Female	ENSMUSG00000116518.3	Gm49494	ENSMUSG00000023004.9	Tuba1b	-1	-1	Kidney	1	1.49452232354373	1	Kidney	-0.3856988646030696
Female	ENSMUSG00000120684.1	ENSMUSG00000120684	ENSMUSG00000042369.9	Rbm45	-1	-1	Kidney, Liver	2	0.8295434302078546	1	Kidney	-0.3858552179643663
Male	ENSMUSG00000099556.3	Gm28857	ENSMUSG00000026427.17	Eif2d	-1	-1	Liver	1	2.7512731807805677	1	Liver	-0.38592253346188116
Male	ENSMUSG00000100106.2	Gm28856	ENSMUSG00000026427.17	Eif2d	-1	-1	Liver	1	4.342460575714955	1	Liver	-0.38592253346188116
Male	ENSMUSG00000101778.2	Gm29488	ENSMUSG00000026427.17	Eif2d	-1	-1	Liver	1	1.043039719910341	1	Liver	-0.38592253346188116
Male	ENSMUSG00000103569.2	Gm38067	ENSMUSG00000026427.17	Eif2d	-1	-1	Kidney, Muscle, Liver	3	0.9309208060011501	1	Liver	-0.38592253346188116
Male	ENSMUSG00000104515.2	Gm37163	ENSMUSG00000026427.17	Eif2d	-1	-1	Liver	1	3.25090686685309	1	Liver	-0.38592253346188116
Male	ENSMUSG00000121271.1	ENSMUSG00000121271	ENSMUSG00000026427.17	Eif2d	-1	-1	Liver	1	3.2074114234989017	1	Liver	-0.38592253346188116
Male	ENSMUSG00000103976.2	Gm37677	ENSMUSG00000062580.10	Timm17a	-1	-1	Kidney, Muscle, Liver	3	1.30343361353352	1	Kidney	-0.3860414579828221
Male	ENSMUSG00000107801.2	Gm44086	ENSMUSG00000040242.15	Fgfr1op2	-1	-1	Kidney, Liver	2	2.100266788414933	1	Liver	-0.38606726172949535
Male	ENSMUSG00000115340.2	Gm48965	ENSMUSG00000022285.18	Ywhaz	-1	-1	Kidney, Liver	2	1.7044079253084454	1	Liver	-0.38614589509364416
Male	ENSMUSG00000115793.2	Gm48961	ENSMUSG00000022285.18	Ywhaz	-1	-1	Liver	1	1.1427350364654472	1	Liver	-0.38614589509364416
Female	ENSMUSG00000112639.2	A730063M14Rik	ENSMUSG00000040521.12	Tsfm	-1	-1	Kidney	1	0.6963364769546645	1	Kidney	-0.3861513913774644
Male	ENSMUSG00000048406.6	B330016D10Rik	ENSMUSG00000040697.11	Dnajc16	-1	-1	Kidney, Liver	2	1.0495079949414636	1	Kidney	-0.38650525339625963
Male	ENSMUSG00000104012.2	Gm37364	ENSMUSG00000007891.17	Ctsd	-1	-1	Ileon, Kidney	2	1.1829119560169155	1	Kidney	-0.38654132457063445
Male	ENSMUSG00000055323.7	Gm9967	ENSMUSG00000043964.15	Orai3	-1	-1	Kidney, Muscle	2	2.463875185996974	1	Kidney	-0.38665647309367884
Male	ENSMUSG00000121116.1	ENSMUSG00000121116	ENSMUSG00000043964.15	Orai3	-1	-1	Kidney	1	1.2862770212385612	1	Kidney	-0.38665647309367884
Female	ENSMUSG00000103611.2	Gm37195	ENSMUSG00000033350.8	Chst2	-1	-1	Ileon, Kidney, Muscle	3	1.2095979937756676	1	Kidney	-0.3867320673255439
Female	ENSMUSG00000087177.9	E130307A14Rik	ENSMUSG00000063428.9	Ddo	-1	-1	Ileon, Kidney	2	0.963622407439892	1	Kidney	-0.3868565695219404
Female	ENSMUSG00000120160.1	ENSMUSG00000120160	ENSMUSG00000028152.11	Tspan5	-1	-1	Kidney	1	1.0606231866597373	1	Kidney	-0.3870418673158459
Male	ENSMUSG00000114707.2	Gm47558	ENSMUSG00000015536.15	Mocs2	-1	-1	Kidney, Liver	2	1.2723464700741656	1	Liver	-0.3871307648871814
Female	ENSMUSG00000103651.2	Gm37206	ENSMUSG00000067889.8	Sptbn2	-1	-1	Kidney, Muscle, Liver	3	0.7036358956959057	1	Kidney	-0.3871840651033124
Male	ENSMUSG00000108942.2	Gm44660	ENSMUSG00000074336.6	Apoc4	-1	-1	Liver	1	1.4494488134696675	1	Liver	-0.38720920163714173
Male	ENSMUSG00000085148.2	Mir22hg	ENSMUSG00000000751.14	Rpa1	-1	-1	Kidney, Muscle, Liver, Heart	4	1.1222184655803955	1	Liver	-0.3872684865554687
Female	ENSMUSG00000109679.2	Gm45342	ENSMUSG00000037214.13	Thap1	-1	-1	Kidney, Muscle	2	1.2048298396944856	1	Muscle	-0.3874969396081286
Female	ENSMUSG00000110127.2	6430710M23Rik	ENSMUSG00000037214.13	Thap1	-1	-1	Ileon, Muscle	2	1.8417194037430753	1	Muscle	-0.3874969396081286
Male	ENSMUSG00000102225.2	Gm37983	ENSMUSG00000032215.16	Rsl24d1	-1	-1	Kidney, Muscle, Liver	3	1.3988004639959726	1	Muscle	-0.38768808560723295
Male	ENSMUSG00000103133.2	Gm37303	ENSMUSG00000032215.16	Rsl24d1	-1	-1	Kidney, Muscle, Liver	3	1.2975514300835667	1	Muscle	-0.38768808560723295
Male	ENSMUSG00000103388.2	Gm37581	ENSMUSG00000032215.16	Rsl24d1	-1	-1	Muscle	1	1.3988226910856247	1	Muscle	-0.38768808560723295
Female	ENSMUSG00000097042.3	Gm17491	ENSMUSG00000031482.10	Slc25a15	-1	-1	Kidney, Muscle	2	0.9660881097666433	1	Muscle	-0.3878078214579435
Female	ENSMUSG00000109652.2	Gm45555	ENSMUSG00000031482.10	Slc25a15	-1	-1	Kidney, Muscle	2	0.7843689553352224	1	Muscle	-0.3878078214579435
Male	ENSMUSG00000111017.2	Gm48314	ENSMUSG00000032086.13	Bace1	-1	-1	Ileon, Muscle, Liver	3	0.9984922264747881	1	Liver	-0.38826822459509297
Female	ENSMUSG00000089889.4	0610040B10Rik	ENSMUSG00000118332.2	Fam220a	-1	-1	Kidney	1	0.8458670534860191	1	Kidney	-0.38851173160244024
Male	ENSMUSG00000096993.5	Gm26787	ENSMUSG00000032125.22	Robo4	-1	-1	Kidney	1	1.205990301412023	1	Kidney	-0.38884338787934375
Male	ENSMUSG00000110993.2	Gm47963	ENSMUSG00000032125.22	Robo4	-1	-1	Kidney, Liver	2	1.2598356678000395	1	Kidney	-0.38884338787934375
Male	ENSMUSG00000111481.2	Gm47652	ENSMUSG00000032125.22	Robo4	-1	-1	Ileon, Kidney, Liver	3	0.775104910088593	1	Kidney	-0.38884338787934375
Male	ENSMUSG00000102504.2	Gm21955	ENSMUSG00000036073.19	Galt	-1	-1	Kidney, Liver	2	1.5244382159884005	1	Liver	-0.388863798029259
