Kidney_Male.LAKI UP	Kidney_Male.LAKI DOWN	Kidney_Male.TMS UP	Kidney_Male.TMS DOWN	Kidney_Male.Zhou UP	Kidney_Male.Zhou DOWN	Liver_Male.LAKI UP	Liver_Male.LAKI DOWN	Liver_Male.TMS UP	Liver_Male.TMS DOWN	Liver_Male.Zhou UP	Liver_Male.Zhou DOWN	Heart_Male.LAKI UP	Heart_Male.LAKI DOWN	Heart_Male.TMS UP	Heart_Male.TMS DOWN	Heart_Male.Zhou UP	Heart_Male.Zhou DOWN	Small_intestine_Male.LAKI UP	Small_intestine_Male.LAKI DOWN	Small_intestine_Male.TMS UP	Small_intestine_Male.TMS DOWN	Small_intestine_Male.Zhou UP	Small_intestine_Male.Zhou DOWN	Kidney_Female.LAKI UP	Kidney_Female.LAKI DOWN	Kidney_Female.TMS UP	Kidney_Female.TMS DOWN	Kidney_Female.Zhou UP	Kidney_Female.Zhou DOWN	Liver_Female.LAKI UP	Liver_Female.LAKI DOWN	Liver_Female.TMS UP	Liver_Female.TMS DOWN	Liver_Female.Zhou UP	Liver_Female.Zhou DOWN	Heart_Female.LAKI UP	Heart_Female.LAKI DOWN	Heart_Female.TMS UP	Heart_Female.TMS DOWN	Heart_Female.Zhou UP	Heart_Female.Zhou DOWN	Small_intestine_Female.LAKI UP	Small_intestine_Female.LAKI DOWN	Small_intestine_Female.TMS UP	Small_intestine_Female.TMS DOWN	Small_intestine_Female.Zhou UP	Small_intestine_Female.Zhou DOWN
Gm55594	Znf41-ps	NA	NA	Gm5124	Gm13861	4930518I15Rik	Gm26684	Gm12655	Gm29404	Gm15706	Gm2415	Gm44021	Terc	ENSMUSG00000120429	Kirrel3os	Dnm3os	Gm14023	Gm43605	ENSMUSG00000121482	E230029C05Rik	Gm16793	NA	NA	ENSMUSG00000120113	Gm10451	NA	NA	NA	NA	Gm15883	Gm31508	Gm14356	B230354K17Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm37900	ENSMUSG00000120252	Gm47283	C730027H18Rik	NA	NA
Gm47283	Abhd11os	NA	NA	Gm9946	Gm13630	4833422C13Rik	D130017N08Rik	Gm15545	Gm29367	Mexis	A630052C17Rik	B930086L07Rik	NA	ENSMUSG00000121385	A730045E13Rik	Airn	4930412C18Rik	Gm43429	NA	4732463B04Rik	Gm26967	NA	NA	2810001A02Rik	H2-T-ps	NA	NA	NA	NA	Gm13387	Gm36264	Gm14416	Gm17690	NA	NA	NA	NA	NA	NA	NA	NA	Gm38302	ENSMUSG00000120476	9230114K14Rik	Gm3734	NA	NA
1600020E01Rik	Prdm16os	NA	NA	Gm14168	1700001G11Rik	Gm10762	1300002E11Rik	Gm15228	A930004J17Rik	Gm15222	Gm11685	5330432J10Rik	NA	Ccl19-ps2	Gm9930	Gm7336	Gm12059	5930430L01Rik	NA	6430562O15Rik	0610031O16Rik	NA	NA	ENSMUSG00000120681	4930558J22Rik	NA	NA	NA	NA	Gm15261	Gm7240	Gm15303	4930525G20Rik	NA	NA	NA	NA	NA	NA	NA	NA	9330121J05Rik	NA	D130017N08Rik	Gm46620	NA	NA
Cep83os	C130046K22Rik	NA	NA	Gm10040	Gm14317	Reno1	E030030I06Rik	Cd55os	Gm37436	Gm15675	2410006H16Rik	9530018F02Rik	NA	ENSMUSG00000121482	A930004D18Rik	Gm14966	Gm4285	Gm45828	NA	Gvin-ps4	2810013P06Rik	NA	NA	ENSMUSG00000120826	Snord17	NA	NA	NA	NA	E030042O20Rik	5033406O09Rik	Gm11427	Gm6277	NA	NA	NA	NA	NA	NA	NA	NA	Gm37529	NA	1700007L15Rik	Gm53019	NA	NA
Gm26532	Gssos2	NA	NA	A930017M01Rik	C230034O21Rik	1700001L05Rik	3110045C21Rik	Gm15283	Gm37262	4933431E20Rik	Gm15903	Gm48225	NA	NA	A430110L20Rik	Gm11131	2610507I01Rik	Gm44553	NA	Gm28836	1700018L02Rik	NA	NA	9330133O14Rik	Gm11175	NA	NA	NA	NA	4933407K13Rik	Gm10734	Gm12388	Gm27028	NA	NA	NA	NA	NA	NA	NA	NA	Gm37060	NA	B430218F22Rik	ENSMUSG00000119968	NA	NA
2310015A10Rik	C530005A16Rik	NA	NA	Gm16551	A330040F15Rik	Rab10os	Gm26850	Gm7162	Gm38243	Gm15133	Eldr	D830005E20Rik	NA	NA	Gm4894	2610203C22Rik	2310014F06Rik	Gm45838	NA	BE692007	Mug-ps1	NA	NA	ENSMUSG00000121482	Gm15387	NA	NA	NA	NA	4933406I18Rik	Gm49668	Gm11839	Gm28492	NA	NA	NA	NA	NA	NA	NA	NA	Gm31748	NA	Gm26740	ENSMUSG00000119999	NA	NA
Gm16973	A730017L22Rik	NA	NA	Gm6361	Gm16758	Bfar	Gm17767	Ifi203-ps	Gm37860	2810001G20Rik	AI662270	Gm46404	NA	NA	D130007C19Rik	Hspd1-ps4	Mkln1os	Gm32540	NA	1700030C10Rik	4732465J04Rik	NA	NA	6820431F20Rik	Gm15611	NA	NA	NA	NA	2810001G20Rik	Gm19522	Gm14976	1700018L02Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm42427	NA	Gm4673	ENSMUSG00000120376	NA	NA
Snhg6	Gm15728	NA	NA	Gm10293	Gm16323	Gm14387	1810008I18Rik	Gm17200	Gm37127	Gm16094	A230056P14Rik	Gm49494	NA	NA	Gm9946	Gm12250	Gm15787	0610005C13Rik	NA	Gm2396	Gm37729	NA	NA	Ppp4r1l-ps	Prdm16os	NA	NA	NA	NA	Epb41l4aos	Gm32461	1700056N10Rik	Gm28720	NA	NA	NA	NA	NA	NA	NA	NA	Gm42553	NA	Gm26543	ENSMUSG00000120401	NA	NA
2810030D12Rik	D030055H07Rik	NA	NA	Trmt112-ps2	2900089D17Rik	Gm11400	2810414N06Rik	Gm17173	Gm42899	1700071M16Rik	Mir17hg	Gm41717	NA	NA	Gm14461	Mir142hg	B230369F24Rik	Gm45540	NA	2410022M11Rik	Gm37174	NA	NA	Gm9762	5730437C11Rik	NA	NA	NA	NA	Gm16332	Gm22146	Snhg15	Zbtb11os1	NA	NA	NA	NA	NA	NA	NA	NA	Gm42436	NA	1700034P13Rik	ENSMUSG00000120841	NA	NA
2810013P06Rik	A230072C01Rik	NA	NA	Cdr1os	Tbx3os1	Gm15374	Gm5524	Vmn2r-ps69	C130075A20Rik	Gm17167	Etohd2	ENSMUSG00000120029	NA	NA	A630012P03Rik	5830444B04Rik	Chn1os3	Zbed5-ps	NA	Snhg14	Gm43189	NA	NA	Gm9725	Gm13056	NA	NA	NA	NA	Gm16573	Gm49980	Gm15535	Gm38057	NA	NA	NA	NA	NA	NA	NA	NA	4633401B06Rik	NA	BE692007	ENSMUSG00000120873	NA	NA
Rps23-ps1	Gm12454	NA	NA	9330158H04Rik	Gm16339	Gm14421	4732465J04Rik	Gm17167	Gm43507	2010016I18Rik	Phtf1os	ENSMUSG00000120873	NA	NA	9130017K11Rik	Snhg15	Gm12002	Gm48302	NA	Gm28875	AI506816	NA	NA	4933440N22Rik	Trmt61b	NA	NA	NA	NA	9130221H12Rik	Gm30117	Tsix	Gm19721	NA	NA	NA	NA	NA	NA	NA	NA	Gm42615	NA	1810008I18Rik	ENSMUSG00000120997	NA	NA
Gm10925	Gm15491	NA	NA	H2-T-ps	Gm17081	Gm15712	2310040G24Rik	2010016I18Rik	C430019N01Rik	Malat1	Gm10177	Gm51425	NA	NA	Gm9972	D830026I12Rik	2810403D21Rik	Gm49839	NA	Gm5524	Gm43571	NA	NA	4632404H12Rik	Gm16010	NA	NA	NA	NA	E130317F20Rik	Gm46620	Gm15987	Norad	NA	NA	NA	NA	NA	NA	NA	NA	Gm43544	NA	Rps23-ps1	ENSMUSG00000121096	NA	NA
Gm28875	5730405O15Rik	NA	NA	3222401L13Rik	Cerox1	Znf41-ps	Gm28438	Gm4707	Gm43189	Gm21860	Gm6548	ENSMUSG00000121015	NA	NA	E130018O15Rik	Snhg17	Stamos	ENSMUSG00000120022	NA	Gm28177	5033403H07Rik	NA	NA	Gm9776	3110099E03Rik	NA	NA	NA	NA	1110038B12Rik	Gm36419	Gm13012	Gm38118	NA	NA	NA	NA	NA	NA	NA	NA	Gm42702	NA	Gm29666	ENSMUSG00000121497	NA	NA
Gm29216	C030037D09Rik	NA	NA	Gm10557	E130317F20Rik	Gm15666	Gm28661	Gm17089	Gm43361	Gm21811	B930036N10Rik	ENSMUSG00000121059	NA	NA	BC018473	Foxd2os	A230072C01Rik	ENSMUSG00000121083	NA	Gm38111	Gm20186	NA	NA	4930426D05Rik	Hoxb5os	NA	NA	NA	NA	B130034C11Rik	Rn7s1	Arhgap27os3	Gm9874	NA	NA	NA	NA	NA	NA	NA	NA	Gm43410	NA	Gm28086	NA	NA	NA
Gm19412	1810012K08Rik	NA	NA	Gm10602	Gm20387	A230072E10Rik	Norad	Gm45351	Gm43230	A330023F24Rik	Gm20707	ENSMUSG00000121069	NA	NA	Gm10010	Halr1	4930481A15Rik	ENSMUSG00000121096	NA	Gm37274	Gm43313	NA	NA	Frmd8os	D630024D03Rik	NA	NA	NA	NA	Gm379	ENSMUSG00000120081	4833417C18Rik	Gm32391	NA	NA	NA	NA	NA	NA	NA	NA	5930430L01Rik	NA	Zbed4-ps1	NA	NA	NA
Kcnq1ot1	B230216N24Rik	NA	NA	Airn	Gm20421	Ino80dos	Gm37824	Or14q1-ps1	Gm43050	Pvt1	Gm21596	ENSMUSG00000121137	NA	NA	Gm10030	1110046J04Rik	Gm16062	ENSMUSG00000121309	NA	6720464F23Rik	Gm43637	NA	NA	2900052L18Rik	Gm15638	NA	NA	NA	NA	Gm16845	ENSMUSG00000120732	1700095A21Rik	C130089K02Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm43597	NA	Gm19938	NA	NA	NA
1700096K18Rik	Gm6548	NA	NA	Gm4609	Gm20712	Gm16344	Gm42427	Vmn2r-ps73	D630030B08Rik	A530020G20Rik	2500002B13Rik	ENSMUSG00000121477	NA	NA	1700084J12Rik	Gm12992	2210408F21Rik	Ppp4r1l-ps	NA	Gm37529	Gm44001	NA	NA	9530080O11Rik	Igf2os	NA	NA	NA	NA	Gm10524	ENSMUSG00000120873	Gm15728	Gm38012	NA	NA	NA	NA	NA	NA	NA	NA	Gm49058	NA	Gm21955	NA	NA	NA
Chaserr	Mid1-ps1	NA	NA	Gapdh-ps16	9330151L19Rik	A730011C13Rik	Gm18635	Gm20707	Dancr	Gm26614	Gm19705	Gm8325	NA	NA	Gm10040	Gm15987	Gm11266	Mfsd4b2	NA	A130071D04Rik	9430064I24Rik	NA	NA	Gm7887	2810433D01Rik	NA	NA	NA	NA	Cep83os	ENSMUSG00000120992	Rbm46os	E030026E10Rik	NA	NA	NA	NA	NA	NA	NA	NA	C030015A19Rik	NA	Gm37899	NA	NA	NA
6430511E19Rik	Gm21860	NA	NA	Rpl10-ps6	A830009L08Rik	C630043F03Rik	C130013H08Rik	Gm21860	C730045M19Rik	Gm26648	B130046B21Rik	Gm22009	NA	NA	Gm8116	Gm12905	4930506C21Rik	9530056K15Rik	NA	Gm43693	Gm44787	NA	NA	2010007H06Rik	E030013I19Rik	NA	NA	NA	NA	9330175E14Rik	ENSMUSG00000121042	Nkx2-2os	Gm43260	NA	NA	NA	NA	NA	NA	NA	NA	Gm44639	NA	Gm38377	NA	NA	NA
Gm43305	Pvt1	NA	NA	Gm14387	Gm19426	Slc2a4rg-ps	Gm20559	Gm2310	Gm43637	Gm26686	Dleu2	Gm37206	NA	NA	A930017M01Rik	2610307P16Rik	Gm16536	Gm14964	NA	Gm43628	Gm45792	NA	NA	B330016D10Rik	2610027K06Rik	NA	NA	NA	NA	Gata6os	ENSMUSG00000121068	Gvin-ps1	Gm42929	NA	NA	NA	NA	NA	NA	NA	NA	Gm44729	NA	Gm37639	NA	NA	NA
Gm42860	Gm6277	NA	NA	Gm12286	AW047730	Egfros	Gm19619	Gm5974	Gm44114	Hmgb1-ps8	Gm4673	Snora73b	NA	NA	Gm10101	Snhg12	Etohd2	Gm10115	NA	Gm43544	4833411C07Rik	NA	NA	Gm9828	Gm12454	NA	NA	NA	NA	Gm26871	ENSMUSG00000121137	Gm16759	Gm30648	NA	NA	NA	NA	NA	NA	NA	NA	Gm44901	NA	Gm37745	NA	NA	NA
C230096K16Rik	3110045C21Rik	NA	NA	Gm12216	Rian	B930095G15Rik	Gm44250	Gm26510	Gm44416	Gm26569	5430416N02Rik	Gm13054	NA	NA	Gm10110	Gm15500	Phtf1os	Fbxl12os	NA	Gm43254	Gm36371	NA	NA	Gm14964	BC037032	NA	NA	NA	NA	1700007L15Rik	Nlrp5-ps	Eldr	Gm43430	NA	NA	NA	NA	NA	NA	NA	NA	Gm32540	NA	Gm38365	NA	NA	NA
Gm40309	B230322F03Rik	NA	NA	Gm11991	Mir124a-1hg	Mir22hg	Gm45792	2310010J17Rik	Gm44250	9930014A18Rik	Mir181a-1hg	Gm11752	NA	NA	Gm4968	2410006H16Rik	4732440D04Rik	E230001N04Rik	NA	Gm43072	Gm2814	NA	NA	D930048N14Rik	1810012K08Rik	NA	NA	NA	NA	1700028E10Rik	D930007J09Rik	Gm16638	Gm43499	NA	NA	NA	NA	NA	NA	NA	NA	Gm45221	NA	Gm37653	NA	NA	NA
Gm44597	1700022N22Rik	NA	NA	Pisd-ps1	Gm17322	Gm6542	Gpx4-ps2	9330175E14Rik	Gm44432	Gm26660	Lockd	Gm12100	NA	NA	4932435O22Rik	Gm15708	AI480526	Gm10680	NA	Gm42702	BC024386	NA	NA	Gm9905	Gm25395	NA	NA	NA	NA	Carmn	D830044D21Rik	AI662270	Gm43050	NA	NA	NA	NA	NA	NA	NA	NA	A930037H05Rik	NA	Gm36933	NA	NA	NA
Snhg1	Gm26850	NA	NA	Gm14421	Gm2061	Snhg3	Gm47162	Gm26614	Gm45051	Gm10687	1700052K11Rik	Rmrp	NA	NA	4930431F12Rik	AI662270	Gm17039	Gm15936	NA	Gm20559	Gm45767	NA	NA	Gm9929	Rmrp	NA	NA	NA	NA	Fendrr	Gm9817	Gm12655	D630030B08Rik	NA	NA	NA	NA	NA	NA	NA	NA	B930025P03Rik	NA	Gm37138	NA	NA	NA
Gm48271	Gm4804	NA	NA	Ndufb4c	Miat	Gm15663	Gm5182	Gm26648	Gm33248	2310015A10Rik	1810053B23Rik	Scarna6	NA	NA	Gm10118	Gm15991	2500002B13Rik	Gm14935	NA	Chaer1	Gm32017	NA	NA	A430110L20Rik	B230216N24Rik	NA	NA	NA	NA	2310001H17Rik	Gm16551	A830082K12Rik	Gm42528	NA	NA	NA	NA	NA	NA	NA	NA	0610005C13Rik	NA	Gm37702	NA	NA	NA
Gm48764	Gm29253	NA	NA	Gm13341	5430416N02Rik	4833418N02Rik	Gm48633	2900076A07Rik	Gm44834	Gm10605	Rps23-ps1	Scarna10	NA	NA	Gm10125	Epb41l4aos	1700113A16Rik	Gm15502	NA	Gm43268	Gm30262	NA	NA	A930012O16Rik	9230105E05Rik	NA	NA	NA	NA	Gm26782	Gm10680	Gm12503	Gm42466	NA	NA	NA	NA	NA	NA	NA	NA	Gm45606	NA	Gm37422	NA	NA	NA
Gm48754	1700018L02Rik	NA	NA	E530001F21Rik	Gm26795	Gm17131	Gm15608	B230208H11Rik	4833411C07Rik	Gm26947	Gm10138	9330179D12Rik	NA	NA	Gvin-ps7	Hotairm1	Gm17491	1700056N10Rik	NA	Gm19619	C730027H18Rik	NA	NA	Gm9958	Gm2895	NA	NA	NA	NA	9530026P05Rik	Gm11175	Gm15228	Gm44416	NA	NA	NA	NA	NA	NA	NA	NA	Gm45540	NA	Gm37423	NA	NA	NA
Gm48161	Gm29562	NA	NA	Znf41-ps	Gm26901	Gm12940	Gm35696	Mirg	Gm45342	Gvin-ps2	Gm29666	D330025C20Rik	NA	NA	Gm10134	E430024P14Rik	9330151L19Rik	Gm12352	NA	Gm44421	Gm48878	NA	NA	5730596B20Rik	Gm17035	NA	NA	NA	NA	Gm16675	Gm13775	Gm11998	Gm43914	NA	NA	NA	NA	NA	NA	NA	NA	9930024M15Rik	NA	Gm37663	NA	NA	NA
Gm49273	Gm56350	NA	NA	A230072E10Rik	Gm27004	3010003L21Rik	Gm40787	Gm26583	Gm45266	Gm28187	Gm3052	Gm31520	NA	NA	4921528I07Rik	Gm17081	9430037G07Rik	Slc13a2os	NA	Gm44220	Gm40770	NA	NA	C330011M18Rik	Rn7s6	NA	NA	NA	NA	Gm16973	Gm11789	A630031M04Rik	Gm44280	NA	NA	NA	NA	NA	NA	NA	NA	A830035O19Rik	NA	Gm43857	NA	NA	NA
Magef1	Gm38226	NA	NA	BB557941	Gm4258	Snhg17	Gm36041	Gm26740	Gm45605	Gm7967	1600010M07Rik	Gm43923	NA	NA	Or7s1-ps1	Gm17300	9330111N05Rik	Gm15912	NA	Gm45083	Gm31508	NA	NA	BC002059	Rpph1	NA	NA	NA	NA	Gm4673	Hnf1aos1	4930506C21Rik	Or10i1-ps1	NA	NA	NA	NA	NA	NA	NA	NA	Gm48086	NA	F830115B05Rik	NA	NA	NA
Snhg4	Sox2ot	NA	NA	4933421O10Rik	2810049E08Rik	Firre	Gm31508	9530059O14Rik	Gm48604	Gm19585	Gm20342	Gm48483	NA	NA	Capza1-ps1	Gm17167	1810034E14Rik	1700110K17Rik	NA	Gm44231	Gm48199	NA	NA	Gm17132	Gm20632	NA	NA	NA	NA	2310043M15Rik	Bach2os	A230059L01Rik	E230020D15Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm47976	NA	Gm43540	NA	NA	NA
Lrrc70	C130013H08Rik	NA	NA	Gm15834	Gm3052	3110056K07Rik	Gm36264	Gm16685	4632418H02Rik	A630072M18Rik	Gm37490	Eprn	NA	NA	Gm7337	Rps2-ps10	B230354K17Rik	Gm15892	NA	Gm44567	Gm40264	NA	NA	Gm10125	Gm20628	NA	NA	NA	NA	B230217O12Rik	Gm13773	Mir17hg	Gm45073	NA	NA	NA	NA	NA	NA	NA	NA	Gm48230	NA	Gm42659	NA	NA	NA
ENSMUSG00000120113	Gm43549	NA	NA	4930570G19Rik	9430053O09Rik	5430405H02Rik	Gm38699	Celrr	Gm19990	Gm37844	Gm38387	Gm3587	NA	NA	Gm16223	Gm45351	Gm10524	Epb41l4aos	NA	Gm45819	AI463229	NA	NA	Gm1976	Snhg18	NA	NA	NA	NA	A930007I19Rik	B430119L08Rik	Gm16332	Gm31105	NA	NA	NA	NA	NA	NA	NA	NA	Gm47138	NA	Gm43753	NA	NA	NA
ENSMUSG00000120162	Gm43032	NA	NA	C130046K22Rik	1700016A09Rik	Gm4285	5033406O09Rik	Gm10605	Gm47411	Gm37795	Gm38037	9630028I04Rik	NA	NA	Gm5879	1110038B12Rik	Gm4211	Gm15889	NA	Gm45909	A930001M01Rik	NA	NA	2510046G10Rik	Gm26881	NA	NA	NA	NA	Gm26982	Gm13522	Gm16549	Gm45548	NA	NA	NA	NA	NA	NA	NA	NA	Gm48302	NA	Gm43628	NA	NA	NA
ENSMUSG00000120183	Gm45495	NA	NA	Gm12576	Gm37121	Gm12905	Gm46411	Gm18821	Gm32699	Norad	4833445I07Rik	ENSMUSG00000120126	NA	NA	B630019A10Rik	Gm20544	Gm26512	A430057M04Rik	NA	Lncbate1	Gm49431	NA	NA	4933406P04Rik	9530082P21Rik	NA	NA	NA	NA	Gm27252	Gm16548	Gm17017	Gm2767	NA	NA	NA	NA	NA	NA	NA	NA	Gm48771	NA	Gm43254	NA	NA	NA
2810001A02Rik	Gm42547	NA	NA	Snhg3	Gm37277	Gm15832	C730002L08Rik	Gm28187	Gm48582	Gm37309	Gm37666	ENSMUSG00000120226	NA	NA	Gm10248	Gm20707	Cep83os	H2af-ps2	NA	Gm47652	Gm49883	NA	NA	9230112E08Rik	Pvt1	NA	NA	NA	NA	2810013P06Rik	Serpina4-ps1	Gm1965	A030001D20Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm48054	NA	Gm42860	NA	NA	NA
A630066F11Rik	Gm44250	NA	NA	4833418N02Rik	Gm38366	4930481B07Rik	Gm35164	Zbed4-ps3	Gm49125	Gm37902	Gm37249	NA	NA	NA	I830134H01Rik	Gm55594	9330159M07Rik	Gm17276	NA	Gm48278	Gm19696	NA	NA	1700055D18Rik	1810034E14Rik	NA	NA	NA	NA	2810402E24Rik	1110020A21Rik	Gm17076	Gm45894	NA	NA	NA	NA	NA	NA	NA	NA	Gm48602	NA	Gm42664	NA	NA	NA
ENSMUSG00000120442	Gm44878	NA	NA	A430018G15Rik	Gm30238	9030622O22Rik	AI463229	1810006J02Rik	Gm49307	Gm37090	Gm32391	NA	NA	NA	Gm10287	1500002C15Rik	Gm17690	Gm6277	NA	Gm48786	Gm3734	NA	NA	Gm6712	Gm26885	NA	NA	NA	NA	1810053B23Rik	9030616G12Rik	Gm17705	Gm40639	NA	NA	NA	NA	NA	NA	NA	NA	Gm48601	NA	Gm43056	NA	NA	NA
ENSMUSG00000120850	Gm44860	NA	NA	Gm11734	Gm38226	Rapgef4os3	Gm48342	Gm7516	Gm46447	Gm37593	D130019J16Rik	NA	NA	NA	Gm6313	Gm47283	D130017N08Rik	Gm28857	NA	5033421B08Rik	Gm29966	NA	NA	9330160F10Rik	Gm26596	NA	NA	NA	NA	Rps23-ps1	Gm26967	AU040972	Gm9856	NA	NA	NA	NA	NA	NA	NA	NA	D130062J10Rik	NA	Gm43532	NA	NA	NA
ENSMUSG00000120992	Gm45645	NA	NA	Zfp335os	Gm37212	Gm15787	Gm46516	Gm29055	A630036G19Rik	Gm42568	Gm38082	NA	NA	NA	3830408C21Rik	Gm4221	Gm17249	Gm37470	NA	Gm47761	Gm50136	NA	NA	4933439C10Rik	C430042M11Rik	NA	NA	NA	NA	Gm28529	Gm28438	Gm3563	Gm48529	NA	NA	NA	NA	NA	NA	NA	NA	Gm48442	NA	Ube2n-ps1	NA	NA	NA
Gm51425	Gm48362	NA	NA	Gm15535	Gm43719	Snhg12	Gm52969	Gm8498	Gm50232	Gm38250	Gm37254	NA	NA	NA	4930521O11Rik	Snhg18	Gm10516	Gm37310	NA	Gm47738	Gm8373	NA	NA	Gm10557	Gm6277	NA	NA	NA	NA	Kcnq1ot1	Gm37691	Gm20541	Gm29724	NA	NA	NA	NA	NA	NA	NA	NA	Gm48986	NA	Gm42856	NA	NA	NA
ENSMUSG00000121093	Gm20300	NA	NA	Gm14493	Gm43759	Gm12840	Gm49668	Gm29484	ENSMUSG00000120113	Gm43062	Gm43814	NA	NA	NA	Gm10419	E230013L22Rik	Gm6277	Gm37595	NA	Gm47088	Gm53019	NA	NA	Gm10602	B230322F03Rik	NA	NA	NA	NA	Gm28055	Gm43079	Vmn2r-ps45	Gm19990	NA	NA	NA	NA	NA	NA	NA	NA	Gm49410	NA	Gm42735	NA	NA	NA
ENSMUSG00000121095	Gm15608	NA	NA	1700123M08Rik	Gm43566	Ftx	Gm19522	Gm28768	ENSMUSG00000120461	Gm42462	Trdc	NA	NA	NA	9330160F10Rik	Pvt1	1700112J16Rik	Gm9910	NA	Gm47404	ENSMUSG00000119973	NA	NA	Mir100hg	Gm26850	NA	NA	NA	NA	Gm29488	Gm42429	B230208B08Rik	Sfta3-ps	NA	NA	NA	NA	NA	NA	NA	NA	Gm50008	NA	Gm43294	NA	NA	NA
9330133O14Rik	Gm47761	NA	NA	Appbp2os	Gm43684	B130055M24Rik	Gm32461	Gm37109	ENSMUSG00000120623	Gm5547	Snhg8	NA	NA	NA	D130052B06Rik	9330175E14Rik	1110019D14Rik	Gm37409	NA	Gm47586	ENSMUSG00000120006	NA	NA	Gm10787	Gm6999	NA	NA	NA	NA	Zbtb11os1	Gm6135	Gm20427	Gm48882	NA	NA	NA	NA	NA	NA	NA	NA	Rn18s-rs5	NA	Gm44152	NA	NA	NA
ENSMUSG00000121137	Gm47210	NA	NA	Gm13327	2900064F13Rik	Gm15500	Gm19696	Gm38173	ENSMUSG00000120959	Gm43388	Gm43692	NA	NA	NA	9330158H04Rik	Gm26532	Gm26588	Gm37195	NA	Gm47260	ENSMUSG00000120031	NA	NA	Mir670hg	Snhg6	NA	NA	NA	NA	Gm38345	Gm44787	Vmn2r-ps51	Gm20337	NA	NA	NA	NA	NA	NA	NA	NA	ENSMUSG00000120162	NA	Gm43984	NA	NA	NA
2610005L07Rik	Gm49542	NA	NA	Gm16233	Gm42656	2810403D21Rik	Gm30117	Gm38106	ENSMUSG00000121018	Gm43445	Gm43305	NA	NA	NA	2410018L13Rik	Rps18-ps4	5031434O11Rik	Gm38095	NA	Gm48119	ENSMUSG00000120233	NA	NA	Reno1	Gm19541	NA	NA	NA	NA	Gm38344	Gm45425	B020004C17Rik	Dio3os	NA	NA	NA	NA	NA	NA	NA	NA	ENSMUSG00000120686	NA	Gm44639	NA	NA	NA
ENSMUSG00000121482	Gm49077	NA	NA	Gm12905	Gm43681	A630052C17Rik	Gm46620	Gm38351	ENSMUSG00000121069	A530030E21Rik	Gm43088	NA	NA	NA	2500004C02Rik	5830432E09Rik	Gm27010	Gm37199	NA	Gm48054	ENSMUSG00000120241	NA	NA	Gm6878	Gm27216	NA	NA	NA	NA	Gm21955	Gm42067	Gm15088	Gm35558	NA	NA	NA	NA	NA	NA	NA	NA	ENSMUSG00000120732	NA	Gm44986	NA	NA	NA
6820431F20Rik	Gm49179	NA	NA	Gm13421	Gm43481	E130102H24Rik	Gm50136	Gm37102	ENSMUSG00000121137	Gm43647	Gm42928	NA	NA	NA	C030034I22Rik	E230029C05Rik	Gm29253	Gm37023	NA	Gm48488	ENSMUSG00000120314	NA	NA	Gm10874	1700018L02Rik	NA	NA	NA	NA	6430573P05Rik	Gm10252	Gm47283	Gm41077	NA	NA	NA	NA	NA	NA	NA	NA	ENSMUSG00000121083	NA	Gm45104	NA	NA	NA
Ppp4r1l-ps	Gm21691	NA	NA	Gm15496	Gm43682	Gm15675	Rn7s1	Gm37694	ENSMUSG00000121350	5830416I19Rik	Gm4332	NA	NA	NA	Gm10521	4930578M01Rik	2900052N01Rik	Gm37818	NA	B230220B15Rik	ENSMUSG00000120376	NA	NA	Rps19-ps3	Gm15459	NA	NA	NA	NA	Gm37760	BC049987	Gm26788	Vmn2r-ps105	NA	NA	NA	NA	NA	NA	NA	NA	ENSMUSG00000121096	NA	Gm45601	NA	NA	NA
Snhg16	Gm49700	NA	NA	4930481B07Rik	Gm9936	Snhg20	ENSMUSG00000119994	Gm37844	ENSMUSG00000121445	Gm43848	N4bp2os	NA	NA	NA	AA792892	Gm10687	2810013P06Rik	Gm10305	NA	Gm49015	ENSMUSG00000120534	NA	NA	C920021L13Rik	Gm28818	NA	NA	NA	NA	Gm37900	Gm32281	Gm26885	Lncppara	NA	NA	NA	NA	NA	NA	NA	NA	ENSMUSG00000121137	NA	Lncbate1	NA	NA	NA
Gm9725	Gm50431	NA	NA	9530051G07Rik	1110006O24Rik	Gm15883	ENSMUSG00000120081	Gm37673	NA	B230303O12Rik	Gm6598	NA	NA	NA	Gm7647	5430416N02Rik	2810402E24Rik	Gm42941	NA	Gm49410	ENSMUSG00000120841	NA	NA	BC022960	Gm8203	NA	NA	NA	NA	Gm20236	Gm47789	Gm26513	C230013L11Rik	NA	NA	NA	NA	NA	NA	NA	NA	ENSMUSG00000121142	NA	5330432J10Rik	NA	NA	NA
